Apple | Noun | Яблоко | A1  
Arm | Noun | Рука | A1  
Baby | Noun | Ребёнок | A1  
Back | Noun | Спина | A1  
Bad | Adjective | Плохой | A1  
Ball | Noun | Мяч | A1  
Banana | Noun | Банан | A1  
Bank | Noun | Банк | A1  
Big | Adjective | Большой | A1  
Bird | Noun | Птица | A1  
Black | Adjective | Чёрный | A1  
Blue | Adjective | Синий | A1  
Book | Noun | Книга | A1  
Box | Noun | Коробка | A1  
Boy | Noun | Мальчик | A1  
Bread | Noun | Хлеб | A1  
Brother | Noun | Брат | A1  
Car | Noun | Машина | A1  
Cat | Noun | Кошка | A1  
Chair | Noun | Стул | A1  
Cheap | Adjective | Дешёвый | A1  
Child | Noun | Ребёнок | A1  
City | Noun | Город | A1  
Clean | Adjective | Чистый | A1  
Cloud | Noun | Облако | A1  
Cold | Adjective | Холодный | A1  
Day | Noun | День | A1  
Dog | Noun | Собака | A1  
Door | Noun | Дверь | A1  
Dress | Noun | Платье | A1  
Drink | Verb | Пить | A1  
Ear | Noun | Ухо | A1  
Earth | Noun | Земля | A1  
Easy | Adjective | Лёгкий | A1  
Egg | Noun | Яйцо | A1  
Eye | Noun | Глаз | A1  
Face | Noun | Лицо | A1  
Farm | Noun | Ферма | A1  
Fast | Adjective | Быстрый | A1  
Father | Noun | Отец | A1  
Fish | Noun | Рыба | A1  
Food | Noun | Еда | A1  
Foot | Noun | Нога | A1  
Friend | Noun | Друг | A1  
Girl | Noun | Девочка | A1  
Good | Adjective | Хороший | A1  
Grass | Noun | Трава | A1  
Green | Adjective | Зелёный | A1  
Hair | Noun | Волосы | A1  
Hand | Noun | Рука | A1  
Happy | Adjective | Счастливый | A1  
Hat | Noun | Шляпа | A1  
Head | Noun | Голова | A1  
Home | Noun | Дом | A1  
Horse | Noun | Лошадь | A1  
Hot | Adjective | Горячий | A1  
House | Noun | Дом | A1  
Ice | Noun | Лёд | A1  
Jump | Verb | Прыгать | A1  
Key | Noun | Ключ | A1  
King | Noun | Король | A1  
Lake | Noun | Озеро | A1  
Leg | Noun | Нога | A1  
Light | Adjective | Лёгкий | A1  
